author_id,work_id,seq,latin_name,greek_name,latin_title,greek_title,english_title,cts_urn,cts_confirmed,exportable
0007,078,78,Plutarchus,Πλούταρχος,Conjugalia Praecepta,Γαμικὰ παραγγέλματα,,urn:cts:greekLit:tlg0007.tlg078,1,1
0007,079,79,Plutarchus,Πλούταρχος,Septem sapientium convivium,Πων επτά σοφών συμπόσιον,,urn:cts:greekLit:tlg0007.tlg079,1,1
0007,080,80,Plutarchus,Πλούταρχος,De superstitione,Περὶ δεισιδαιμονίας,,urn:cts:greekLit:tlg0007.tlg080,1,1
0007,081,81,Plutarchus,Πλούταρχος,Regum et imperatorum apophthegmata,Ἀποφθέγματα βασιλέων καὶ στρατηγῶν,,urn:cts:greekLit:tlg0007.tlg081,1,1
0007,082,82,Plutarchus,Πλούταρχος,Apophthegmata Laconica,Ἀποφθέγματα Λακωνικά,,urn:cts:greekLit:tlg0007.tlg082,1,1
0007,083,83,Plutarchus,Πλούταρχος,Mulierum virtutes,Γυναικῶν ἀρεταί,,urn:cts:greekLit:tlg0007.tlg083,1,1
0007,084,84,Plutarchus,Πλούταρχος,Aetia Romana et Graeca,,,urn:cts:greekLit:tlg0007.tlg084,0,0
0007,085,85,Plutarchus,Πλούταρχος,Parallela minora,Συναγωγὴ ἱστοριῶν παραλλήλων Ἑλληνικῶν καὶ Ῥωμαϊκῶν,,urn:cts:greekLit:tlg0007.tlg085,1,1
0007,086,86,Plutarchus,Πλούταρχος,De fortuna Romanorum,Περὶ τῆς Ῥωμαίων τύχης,,urn:cts:greekLit:tlg0007.tlg086,1,1
0007,087,87,Plutarchus,Πλούταρχος,De Alexandri magni fortuna aut virtute,"Περὶ τῆς Ἀλεξάνδρου τύχης ἢ ἀρετῆς λόγος Α, λόγος Β",,urn:cts:greekLit:tlg0007.tlg087,1,1
0007,088,88,Plutarchus,Πλούταρχος,De gloria Atheniensium,Πότερον Ἀθηναῖοι κατὰ πόλεμον ἢ κατὰ σοφίαν ἐνδοξότεροι,,urn:cts:greekLit:tlg0007.tlg088,1,1
0007,089,89,Plutarchus,Πλούταρχος,De Iside et Osiride,Περὶ Ἴσιδος και Ὀσίριδος,,urn:cts:greekLit:tlg0007.tlg089,1,1
0007,090,90,Plutarchus,Πλούταρχος,De E apud Delphos,Περὶ τοῦ Ε τοῦ ἐν Δελφοῖς,,urn:cts:greekLit:tlg0007.tlg090,1,1
0007,091,91,Plutarchus,Πλούταρχος,De Pythiae oraculis,Περὶ τοῦ μὴ χρᾶν ἔμμετρα νῦν τὴν Πυθίαν,,urn:cts:greekLit:tlg0007.tlg091,1,1
0007,092,92,Plutarchus,Πλούταρχος,De defectu oraculorum,Περὶ τῶν ἐκλελοιπότων,,urn:cts:greekLit:tlg0007.tlg092,1,1
0007,093,93,Plutarchus,Πλούταρχος,An virtus doceri possit,Εἰ διδακτὸν ἡ ἀρετή,,urn:cts:greekLit:tlg0007.tlg093,1,1
