author_id,author_name_latin,author_name_greek,author_name_english,epitheton,era,source,work_id,title_latin,title_english,title_greek,cts_urn,cts_confirmed
3327,JOASAPH Ephesius,,Joasaph,Phil. et Scr. Eccl.,15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,002,Responsiones ad quaestiones presbyteri Georgii Drasini,,,urn:cts:greekLit:tlg3327.tlg002,False
3327,JOASAPH Ephesius,,Joasaph,Phil. et Scr. Eccl.,15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,003,Carmina in Joannem Notaram,,,urn:cts:greekLit:tlg3327.tlg003,False
3327,JOASAPH Ephesius,,Joasaph,Phil. et Scr. Eccl.,15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,004,Exegesis,,,urn:cts:greekLit:tlg3327.tlg004,False
3327,JOASAPH Ephesius,,Joasaph,Phil. et Scr. Eccl.,15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,005,Homilia in hymnum Φῶς ἱλαρὸν rogati Nili monachi scripta,,,urn:cts:greekLit:tlg3327.tlg005,False
3327,JOASAPH Ephesius,,Joasaph,Phil. et Scr. Eccl.,15th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,006,Epistula Joasaphi ad Nilum,,,urn:cts:greekLit:tlg3327.tlg006,False
3328,Constantinus LASCARIS,,Constantinus Lascaris,Rhet.,,tlg:post-e;bcdavasconcelos,002,Epistula ad Joannem Pardum,,,urn:cts:greekLit:tlg3328.tlg002,False
3329,Demetrius MAGISTRUS,,Demetrius Magistrus,Poeta,,tlg:post-e;bcdavasconcelos,001,Versus,,,urn:cts:greekLit:tlg3329.tlg001,False
3330,THEODORUS Nicaeensis,,Theodorus Nicaeensis,Theol.,,tlg:post-e;bcdavasconcelos,001,Encomium in sanctum Petrum episcopum Argi,,,urn:cts:greekLit:tlg3330.tlg001,False
3330,THEODORUS Nicaeensis,,Theodorus Nicaeensis,Theol.,,tlg:post-e;bcdavasconcelos,002,Epistulae,,,urn:cts:greekLit:tlg3330.tlg002,False
3331,Manuel I COMNENUS Imperator Nomograph.,Μανουήλ Α' Κομνηνός,Manuel I Comnenus Imperator,,12th c. A.D.,tlg:post-e;bcdavasconcelos;wikidata,001,Novellae,,,urn:cts:greekLit:tlg3331.tlg001,False
